RANK,Player,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,FG%,"TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPG,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Michael Kidd-Gilchrist,Cha,F,26.36,12,13.3,27.7,17.5,10.9,9,0.778,36,0.361,17,0.294,0.387,0.421,4,2.9,12,0.8,9.5,0,0.25,0.58,6.3,91.1,105.2
,Stanton Kidd,Uta,F,27.89,4,3.8,8,14.3,40,0,0,2,0,1,0,0,0,0,0.8,10.7,0.3,7.8,0,0,0.5,0,,
,Louis King,Det,F,20.84,9,6.1,12.8,17.5,9,3,0,9,0.444,10,0.4,0.526,0.492,2.2,0.9,8.1,0.6,13.3,0.22,0,0.22,6.9,99.4,96.1
,Maxi Kleber,Dal,F,28.02,50,25,52.2,14,9,64,0.891,129,0.589,216,0.384,0.581,0.614,9.2,5.4,11.2,1,5.6,0.3,1.06,0.74,5.9,124.5,105.2
,Brandon Knight,Cle,G,28.18,16,15.1,31.4,19.1,14.9,13,0.308,22,0.409,64,0.297,0.436,0.431,4.9,1.3,4.6,1.9,18,0.31,0.13,1,6.1,89.2,111.9
,Kevin Knox II,Nyk,F,20.49,50,18.6,38.8,18.1,8.1,86,0.651,159,0.421,168,0.327,0.457,0.487,7.1,3,8.6,1,8,0.4,0.38,0.64,6,100.3,108.4
,John Konchar,Mem,G,23.87,5,5.9,12.3,5.7,0,0,0,2,1,2,0,0.5,0.5,0.8,0.4,3.6,0.4,8.2,0,0,0,3.4,118.9,116.7
,Furkan Korkmaz,Phi,G-F,22.54,50,20.8,43.3,18,8.1,46,0.717,142,0.479,236,0.381,0.537,0.551,8.8,2.1,5.7,0.9,6.3,0.5,0.24,0.7,4.9,105.4,105.2
,Luke Kornet,Chi,C-F,24.56,32,14.8,30.8,16.6,6.5,26,0.731,66,0.606,94,0.266,0.484,0.507,5.4,2.3,8.5,0.9,9.2,0.31,0.78,0.38,6,107,105.1
,Kyle Korver,Mil,G-F,38.89,44,16.8,34.9,15.1,14.5,31,0.839,43,0.442,174,0.425,0.599,0.62,6.5,1.9,5.7,1.2,9.3,0.43,0.23,0.89,5.8,111.5,99.9
,Rodions Kurucs,Bro,F,22,32,13.2,27.6,15.5,20.3,22,0.636,62,0.516,54,0.463,0.599,0.609,4.8,2.4,9.3,0.9,9.9,0.41,0.06,1,6.6,104,97.3
,Kyle Kuzma,Lal,F,24.54,40,25,52.1,23.3,11.4,103,0.748,258,0.508,184,0.337,0.507,0.539,13.1,4.4,9.6,1.1,6.3,0.28,0.4,1.58,6.4,102.6,104.1
,Skal Labissiere,Por,F-C,23.89,33,17.2,35.8,14.3,15.7,33,0.758,134,0.582,13,0.231,0.561,0.588,5.8,5.1,15.3,1.3,10.3,0.21,0.94,0.91,7.8,119.6,99.8
